Player,Team,Conference,Month,Year,Award,in
DeMar DeRozan,Chicago Bulls,East,February,2022,NBA Player Of The Month,2022-02-01 00:00:00
Luka Doncic,Dallas Mavericks,West,February,2022,NBA Player Of The Month,2022-02-01 00:00:00
Joel Embiid,Philadelphia Sixers,East,January,2022,NBA Player Of The Month,2022-01-01 00:00:00
Nikola Jokic,Denver Nuggets,West,January,2022,NBA Player Of The Month,2022-01-01 00:00:00
Joel Embiid,Philadelphia Sixers,East,December,2022,NBA Player Of The Month,2022-12-01 00:00:00
Donovan Mitchell,Utah Jazz,West,December,2022,NBA Player Of The Month,2022-12-01 00:00:00
Kevin Durant,Brooklyn Nets,East,November,2022,NBA Player Of The Month,2022-11-01 00:00:00
Stephen Curry,Golden State Warriors,West,November,2022,NBA Player Of The Month,2022-11-01 00:00:00
Jalen Brunson,New York Knicks,East,February,2023,NBA Player Of The Month,2023-02-01 00:00:00
Nikola Jokic,Denver Nuggets,West,February,2023,NBA Player Of The Month,2023-02-01 00:00:00
Joel Embiid,Philadelphia Sixers,East,January,2023,NBA Player Of The Month,2023-01-01 00:00:00
Nikola Jokic,Denver Nuggets,West,January,2023,NBA Player Of The Month,2023-01-01 00:00:00
Joel Embiid,Philadelphia Sixers,East,December,2023,NBA Player Of The Month,2023-12-01 00:00:00
Luka Doncic,Dallas Mavericks,West,December,2023,NBA Player Of The Month,2023-12-01 00:00:00
Jayson Tatum,Boston Celtics,East,November,2023,NBA Player Of The Month,2023-11-01 00:00:00
Devin Booker,Phoenix Suns,West,November,2023,NBA Player Of The Month,2023-11-01 00:00:00
